type,range_min,range_max,samples,seed,failure_rate
f32,-1000000,0,1000,42,18.000000%
f64,-1000000,0,1000,42,16.600000%
f32,-1000000,0,1000,40,16.600000%
f64,-1000000,0,1000,40,17.200000%
f32,-1000000,0,1000,12345,15.700000%
f64,-1000000,0,1000,12345,14.000000%
f32,-1000000,0,1000000,42,16.310400%
f64,-1000000,0,1000000,42,16.317500%
f32,-1000000,0,1000000,40,16.304100%
f64,-1000000,0,1000000,40,16.305400%
f32,-1000000,0,1000000,12345,16.243700%
f64,-1000000,0,1000000,12345,16.307400%
f32,-1000000,1,1000,42,16.600000%
f64,-1000000,1,1000,42,14.500000%
f32,-1000000,1,1000,40,16.700000%
f64,-1000000,1,1000,40,14.500000%
f32,-1000000,1,1000,12345,16.000000%
f64,-1000000,1,1000,12345,16.900000%
f32,-1000000,1,1000000,42,16.289800%
f64,-1000000,1,1000000,42,16.347300%
f32,-1000000,1,1000000,40,16.333900%
f64,-1000000,1,1000000,40,16.354200%
f32,-1000000,1,1000000,12345,16.307000%
f64,-1000000,1,1000000,12345,16.311300%
f32,-1000000,1000000,1000,42,7.100000%
f64,-1000000,1000000,1000,42,6.000000%
f32,-1000000,1000000,1000,40,6.600000%
f64,-1000000,1000000,1000,40,5.500000%
f32,-1000000,1000000,1000,12345,6.900000%
f64,-1000000,1000000,1000,12345,5.900000%
f32,-1000000,1000000,1000000,42,6.931100%
f64,-1000000,1000000,1000000,42,6.994600%
f32,-1000000,1000000,1000000,40,6.960600%
f64,-1000000,1000000,1000000,40,6.940200%
f32,-1000000,1000000,1000000,12345,6.884900%
f64,-1000000,1000000,1000000,12345,6.906900%
f32,-1,0,1000,42,18.600000%
f64,-1,0,1000,42,18.200000%
f32,-1,0,1000,40,18.200000%
f64,-1,0,1000,40,18.100000%
f32,-1,0,1000,12345,16.400000%
f64,-1,0,1000,12345,17.700000%
f32,-1,0,1000000,42,17.986000%
f64,-1,0,1000000,42,18.017600%
f32,-1,0,1000000,40,18.013300%
f64,-1,0,1000000,40,18.052100%
f32,-1,0,1000000,12345,18.050800%
f64,-1,0,1000000,12345,18.103800%
f32,-1,1,1000,42,8.100000%
f64,-1,1,1000,42,8.100000%
f32,-1,1,1000,40,8.400000%
f64,-1,1,1000,40,9.300000%
f32,-1,1,1000,12345,10.000000%
f64,-1,1,1000,12345,6.900000%
f32,-1,1,1000000,42,9.553200%
f64,-1,1,1000000,42,9.553900%
f32,-1,1,1000000,40,9.597000%
f64,-1,1,1000000,40,9.577300%
f32,-1,1,1000000,12345,9.550800%
f64,-1,1,1000000,12345,9.543200%
f32,-1,1000000,1000,42,25.700000%
f64,-1,1000000,1000,42,26.400000%
f32,-1,1000000,1000,40,26.200000%
f64,-1,1000000,1000,40,26.200000%
f32,-1,1000000,1000,12345,23.800000%
f64,-1,1000000,1000,12345,22.100000%
f32,-1,1000000,1000000,42,25.593900%
f64,-1,1000000,1000000,42,25.577200%
f32,-1,1000000,1000000,40,25.582700%
f64,-1,1000000,1000000,40,25.604800%
f32,-1,1000000,1000000,12345,25.499600%
f64,-1,1000000,1000000,12345,25.538800%
f32,0,1,1000,42,20.700000%
f64,0,1,1000,42,21.500000%
f32,0,1,1000,40,22.300000%
f64,0,1,1000,40,19.800000%
f32,0,1,1000,12345,20.000000%
f64,0,1,1000,12345,20.300000%
f32,0,1,1000000,42,21.010400%
f64,0,1,1000000,42,21.067400%
f32,0,1,1000000,40,21.067100%
f64,0,1,1000000,40,21.027000%
f32,0,1,1000000,12345,21.062200%
f64,0,1,1000000,12345,21.120700%
f32,0,1000000,1000,42,25.500000%
f64,0,1000000,1000,42,24.100000%
f32,0,1000000,1000,40,23.700000%
f64,0,1000000,1000,40,25.800000%
f32,0,1000000,1000,12345,25.100000%
f64,0,1000000,1000,12345,26.800000%
f32,0,1000000,1000000,42,25.568400%
f64,0,1000000,1000000,42,25.467500%
f32,0,1000000,1000000,40,25.514000%
f64,0,1000000,1000000,40,25.509100%
f32,0,1000000,1000000,12345,25.509000%
f64,0,1000000,1000000,12345,25.563400%
